3 押し順ベル2
左1→中1→右3 ×
左1→中2→右3 ×
左1→中3→右3 ×
左1→中6→右3 ×
左1→中7→右3 ×
左1→中8→右3 ×
左1→中11→右3 ×
左1→中12→右3 ×
左1→中13→右3 ×
左1→中16→右3 ×
左1→中17→右3 ×
左1→中18→右3 ×
左1→中1 ×
左2→中1→右3 ×
左2→中2→右2 ×
左2→中3→右3 ×
左2→中6→右3 ×
左2→中7→右2 ×
左2→中8→右3 ×
左2→中11→右3 ×
左2→中12→右2 ×
左2→中13→右3 ×
左2→中16→右3 ×
左2→中17→右2 ×
左2→中18→右3 ×
左2→中1 ×
左3→中1→右3 ×
左3→中2→右3 ×
左3→中3→右3 ×
左3→中6→右3 ×
左3→中7→右3 ×
左3→中8→右3 ×
左3→中11→右3 ×
左3→中12→右3 ×
左3→中13→右3 ×
左3→中16→右3 ×
左3→中17→右3 ×
左3→中18→右3 ×
左3→中1 ×
左4→中1→右2 ×
左4→中2→右3 ×
左4→中3→右3 ×
左4→中6→右2 ×
左4→中7→右3 ×
左4→中8→右3 ×
左4→中11→右2 ×
左4→中12→右3 ×
左4→中13→右3 ×
左4→中16→右2 ×
左4→中17→右3 ×
左4→中18→右3 ×
左4→中1 ×
左5→中1→右3 ×
左5→中2→右3 ×
左5→中3→右1 ×
左5→中6→右3 ×
左5→中7→右3 ×
左5→中8→右1 ×
左5→中11→右3 ×
左5→中12→右3 ×
左5→中13→右1 ×
左5→中16→右3 ×
左5→中17→右3 ×
左5→中18→右1 ×
左5→中1 ×
左6→中1→右3 ×
左6→中2→右3 ×
左6→中3→右3 ×
左6→中6→右3 ×
左6→中7→右3 ×
左6→中8→右3 ×
左6→中11→右3 ×
左6→中12→右3 ×
左6→中13→右3 ×
左6→中16→右3 ×
左6→中17→右3 ×
左6→中18→右3 ×
左6→中1 ×
左7→中1→右3 ×
左7→中2→右2 ×
左7→中3→右3 ×
左7→中6→右3 ×
左7→中7→右2 ×
左7→中8→右3 ×
左7→中11→右3 ×
左7→中12→右2 ×
左7→中13→右3 ×
左7→中16→右3 ×
左7→中17→右2 ×
左7→中18→右3 ×
左7→中1 ×
左8→中1→右3 ×
左8→中2→右3 ×
左8→中3→右3 ×
左8→中6→右3 ×
左8→中7→右3 ×
左8→中8→右3 ×
左8→中11→右3 ×
左8→中12→右3 ×
左8→中13→右3 ×
左8→中16→右3 ×
左8→中17→右3 ×
左8→中18→右3 ×
左8→中1 ×
左9→中1→右2 ×
左9→中2→右3 ×
左9→中3→右3 ×
左9→中6→右2 ×
左9→中7→右3 ×
左9→中8→右3 ×
左9→中11→右2 ×
左9→中12→右3 ×
左9→中13→右3 ×
左9→中16→右2 ×
左9→中17→右3 ×
左9→中18→右3 ×
左9→中1 ×
左10→中1→右3 ×
左10→中2→右3 ×
左10→中3→右1 ×
左10→中6→右3 ×
左10→中7→右3 ×
左10→中8→右1 ×
左10→中11→右3 ×
左10→中12→右3 ×
左10→中13→右1 ×
左10→中16→右3 ×
左10→中17→右3 ×
左10→中18→右1 ×
左10→中1 ×
左11→中1→右3 ×
左11→中2→右3 ×
左11→中3→右3 ×
左11→中6→右3 ×
左11→中7→右3 ×
左11→中8→右3 ×
左11→中11→右3 ×
左11→中12→右3 ×
左11→中13→右3 ×
左11→中16→右3 ×
左11→中17→右3 ×
左11→中18→右3 ×
左11→中1 ×
左12→中1→右3 ×
左12→中2→右2 ×
左12→中3→右3 ×
左12→中6→右3 ×
左12→中7→右2 ×
左12→中8→右3 ×
左12→中11→右3 ×
左12→中12→右2 ×
左12→中13→右3 ×
左12→中16→右3 ×
左12→中17→右2 ×
左12→中18→右3 ×
左12→中1 ×
左13→中1→右3 ×
左13→中2→右3 ×
左13→中3→右3 ×
左13→中6→右3 ×
左13→中7→右3 ×
左13→中8→右3 ×
左13→中11→右3 ×
左13→中12→右3 ×
左13→中13→右3 ×
左13→中16→右3 ×
左13→中17→右3 ×
左13→中18→右3 ×
左13→中1 ×
左14→中1→右2 ×
左14→中2→右3 ×
左14→中3→右3 ×
左14→中6→右2 ×
左14→中7→右3 ×
左14→中8→右3 ×
左14→中11→右2 ×
左14→中12→右3 ×
左14→中13→右3 ×
左14→中16→右2 ×
左14→中17→右3 ×
左14→中18→右3 ×
左14→中1 ×
左15→中1→右3 ×
左15→中2→右3 ×
左15→中3→右1 ×
左15→中6→右3 ×
左15→中7→右3 ×
左15→中8→右1 ×
左15→中11→右3 ×
左15→中12→右3 ×
左15→中13→右1 ×
左15→中16→右3 ×
左15→中17→右3 ×
左15→中18→右1 ×
左15→中1 ×
左16→中1→右3 ×
左16→中2→右3 ×
左16→中3→右3 ×
左16→中6→右3 ×
左16→中7→右3 ×
左16→中8→右3 ×
左16→中11→右3 ×
左16→中12→右3 ×
左16→中13→右3 ×
左16→中16→右3 ×
左16→中17→右3 ×
左16→中18→右3 ×
左16→中1 ×
左17→中1→右3 ×
左17→中2→右2 ×
左17→中3→右3 ×
左17→中6→右3 ×
左17→中7→右2 ×
左17→中8→右3 ×
左17→中11→右3 ×
左17→中12→右2 ×
左17→中13→右3 ×
左17→中16→右3 ×
左17→中17→右2 ×
左17→中18→右3 ×
左17→中1 ×
左18→中1→右3 ×
左18→中2→右3 ×
左18→中3→右3 ×
左18→中6→右3 ×
左18→中7→右3 ×
左18→中8→右3 ×
左18→中11→右3 ×
左18→中12→右3 ×
左18→中13→右3 ×
左18→中16→右3 ×
左18→中17→右3 ×
左18→中18→右3 ×
左18→中1 ×
左19→中1→右2 ×
左19→中2→右3 ×
左19→中3→右3 ×
左19→中6→右2 ×
左19→中7→右3 ×
左19→中8→右3 ×
左19→中11→右2 ×
左19→中12→右3 ×
左19→中13→右3 ×
左19→中16→右2 ×
左19→中17→右3 ×
左19→中18→右3 ×
左19→中1 ×
左20→中1→右3 ×
左20→中2→右3 ×
左20→中3→右1 ×
左20→中6→右3 ×
左20→中7→右3 ×
左20→中8→右1 ×
左20→中11→右3 ×
左20→中12→右3 ×
左20→中13→右1 ×
左20→中16→右3 ×
左20→中17→右3 ×
左20→中18→右1 ×
左20→中1 ×
左1で詰みました
